VAR3	StepID	x	y	finalcl	STEPLENGTH	TURNANGLE	BEARING	BRGPREV	NETDISP	arrival_bearing	next_bearing	bearing2targetmead	dist2targetmead	observed	landcover	bearing2pixel	bearing2gap	dist2gap	strata	Xdp	Xtm	XtmDtm_0	XtmDtm_pos0_5	XtmDtm_neg0_5	Xcg	XcgDcg_0	XcgDcg_pos0_5	XcgDcg_neg0_5	conifer	decid	meadow
10	28	387043.1304	5952277.849	0	9.90131679	-20.3399	195.7327775	216.072681	263.7735511	-2.20038327	-1.845385113	-2.330344872	370.9677859	1	4	-1.570796327	-2.525063117	22.22162144	20	0.808270789	0.725146954	0.725146954	13.96671033	0.037649389	0.578207132	0.578207132	2.725657714	0.122657913	0	1	0
10	29	387040.4456	5952268.318	0	10	-3.16674	192.5660371	195.7327775	273.4248634	-1.845385113	-1.790115012	-2.343087471	362.2375633	1	4	-1.570796327	-2.929970827	15.79807672	21	0.96253678	0.71631384	0.71631384	13.63327152	0.037636272	0.210045821	0.210045821	0.834864809	0.052845978	0	1	0
10	30	387038.27	5952258.558	0	9.904237902	11.39159	203.9576271	192.5660371	283.0584947	-1.790115012	-1.988935732	-2.35793449	353.7668819	1	6	-2.35619449	-2.879640384	13.73867684	22	0.844010139	0.999998486	0.999998486	18.80866319	0.053166829	0.866101834	0.866101834	3.210268908	0.233666527	0	0	0
10	31	387034.2483	5952249.507	0	10	5.523299	209.4809262	203.9576271	292.9406644	-1.988935732	-2.085335847	-2.368302696	344.5478265	1	4	-2.35619449	2.863601248	20.01674619	24	0.933315117	0.999926697	0.999926697	18.56063887	0.053869557	0.48591237	0.48591237	2.173975757	0.108607849	0	1	0
10	32	387029.3269	5952240.802	0	10	0	209.4809262	209.4809262	302.9360873	-2.085335847	-2.085335355	-2.376638354	334.9571551	1	4	-2.35619449	-2.485060677	156.9559072	25	0.963541514	0.999791032	0.999791032	18.29801024	0.054627913	0.991708237	0.991708237	12.42432357	0.07915805	0	1	0
10	33	387024.4056	5952232.097	0	9.982290816	18.14521	227.6261402	209.4809262	312.9318026	-2.085335355	-2.40202918	-2.38546479	325.3911217	1	4	-2.35619449	-2.511395074	147.7954697	26	0.963541382	0.999571655	0.999571655	18.03087414	0.055412926	0.987980545	0.987980545	12.0109941	0.081267674	0	1	0
10	34	387017.0311	5952225.369	0	9.950579801	3.642379	231.26852	227.6261402	322.3419412	-2.40202918	-2.465601044	-2.384940574	315.4102429	1	4	-2.35619449	-2.519297463	137.8771223	27	0.998949775	0.99958686	0.99958686	17.75245559	0.0562837	0.986728171	0.986728171	11.58626968	0.084033301	0	1	0
10	35	387009.2687	5952219.143	0	10	10.78505	242.0535729	231.26852	331.5350176	-2.465601044	-2.653835258	-2.382316131	305.4930688	1	4	-2.35619449	-2.523471661	127.9420003	28	0.99402107	0.999658849	0.999658849	17.47239726	0.057194087	0.986041768	0.986041768	11.15326137	0.087174355	0	1	0
10	36	387000.4349	5952214.457	0	10	-1.60E-10	242.0535729	242.0535729	339.9695593	-2.653835258	-2.653835305	-2.373251425	295.8715783	1	4	-2.35619449	-2.512458115	118.0340116	29	0.95603103	0.999854534	0.999854534	17.1984158	0.058127975	0.987815663	0.987815663	10.73197104	0.0909227	0	1	0
10	37	386991.601	5952209.77	0	9.929272099	-4.38885	237.6647163	242.0535729	348.4869217	-2.653835305	-2.577235271	-2.363578205	286.2760314	1	4	-2.35619449	-2.499428076	108.1429618	30	0.956031017	0.999972741	0.999972741	16.91923237	0.059101114	0.989759595	0.989759595	10.292689	0.095176689	0	1	0
10	38	386983.2114	5952204.459	0	10	-10.5828	227.0818429	237.6647163	357.3794645	-2.577235271	-2.392530192	-2.355966042	276.5805424	1	4	-2.35619449	-2.491572371	98.24676012	31	0.975669792	0.999999974	0.999999974	16.63071039	0.060129719	0.990850401	0.990850401	9.821260002	0.09996523	0	1	0
10	39	386975.8882	5952197.65	0	10	0	227.0818429	227.0818429	367.0265574	-2.392530192	-2.392529528	-2.354594786	266.587484	1	7	-2.35619449	-2.502770657	88.30131024	32	0.999339931	0.99999872	0.99999872	16.32748608	0.061246259	0.989276933	0.989276933	9.296114334	0.105277196	0	0	1
10	40	386968.5649	5952190.84	0	10	0	227.0818429	227.0818429	376.6920573	-2.392529528	-2.39252946	-2.353116749	256.594958	1	6	-2.35619449	-2.516809442	78.3697364	33	0.999339955	0.999995264	0.999995264	16.01850578	0.062427204	0.987129124	0.987129124	8.738726722	0.111506394	0	0	0
10	41	386961.2416	5952184.031	0	9.338084945	20.35703	247.4388745	227.0818429	386.3745828	-2.39252946	-2.747825957	-2.351518938	246.6030388	1	6	-2.35619449	-2.534917904	68.45808873	35	0.999339958	0.99998907	0.99998907	15.7034279	0.063678972	0.984071438	0.984071438	8.142148364	0.11893625	0	0	0
10	42	386952.6182	5952180.448	0	10	-5.38418	242.0546929	247.4388745	394.0925546	-2.747825957	-2.653855518	-2.336373854	238.0160167	1	4	-2.35619449	-2.501673131	59.36365155	36	0.924287564	0.999803578	0.999803578	15.42473736	0.06480546	0.989436633	0.989436633	7.62339265	0.128418526	0	1	0
